                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.75612,                0.94663,                 1.2247,                0.70364,                0.70318,                0.76452,                0.62705,                0.66733,                0.85557,                 1.2202,              0.0077893,              0.0077893,              0.0077893
                     97,                0.74953,                0.93668,                 1.2129,                0.69942,                0.73928,                0.78455,                0.64956,                0.65559,                  0.832,                 1.2081,               0.007746,               0.007746,               0.007746
                     98,                0.73871,                0.93524,                 1.2106,                0.66869,                0.73531,                0.77902,                0.64657,                0.65387,                0.88099,                 1.2113,              0.0077023,              0.0077023,              0.0077023
                     99,                0.75304,                0.93761,                 1.2192,                0.71321,                0.72565,                0.77863,                0.63574,                0.67447,                0.85736,                 1.2241,              0.0076584,              0.0076584,              0.0076584
                    100,                0.74157,                0.93939,                 1.2091,                0.69337,                0.74372,                0.78063,                0.63639,                0.66864,                0.85828,                 1.2251,              0.0076142,              0.0076142,              0.0076142
                    101,                0.75494,                0.95683,                 1.2196,                0.68475,                0.72811,                0.76943,                0.63743,                 0.6496,                0.87223,                 1.2087,              0.0075698,              0.0075698,              0.0075698
                    102,                0.73678,                0.92934,                 1.2111,                0.68414,                0.74425,                0.77838,                0.64489,                0.64733,                0.82945,                 1.2174,               0.007525,               0.007525,               0.007525
                    103,                 0.7469,                0.92958,                 1.2193,                0.64629,                0.74028,                0.74843,                0.62064,                0.64425,                0.93536,                 1.2031,                0.00748,                0.00748,                0.00748
                    104,                0.73197,                0.92164,                 1.1989,                0.70382,                0.73373,                0.78195,                0.64453,                0.65743,                0.84362,                 1.2098,              0.0074347,              0.0074347,              0.0074347
                    105,                0.72993,                0.92484,                 1.2016,                0.69826,                0.73885,                0.78394,                0.64832,                0.65955,                0.81749,                  1.208,              0.0073891,              0.0073891,              0.0073891
                    106,                0.74522,                0.93715,                 1.2033,                0.69475,                0.73891,                  0.781,                0.64971,                0.64463,                0.84141,                 1.2009,              0.0073433,              0.0073433,              0.0073433
                    107,                0.73133,                0.92345,                 1.1961,                0.69695,                0.75065,                0.78384,                 0.6494,                0.63835,                0.83608,                 1.1936,              0.0072973,              0.0072973,              0.0072973
                    108,                0.71728,                0.91575,                 1.1866,                0.71162,                0.72394,                0.78252,                0.65118,                0.64416,                 0.8298,                 1.2023,              0.0072509,              0.0072509,              0.0072509
                    109,                0.71892,                0.91221,                 1.1859,                 0.6896,                 0.7408,                0.78082,                0.64638,                0.63712,                0.86348,                 1.1975,              0.0072044,              0.0072044,              0.0072044
                    110,                0.73189,                0.92321,                 1.2013,                0.65431,                0.71198,                0.76053,                 0.6247,                0.65936,                0.93234,                 1.2075,              0.0071576,              0.0071576,              0.0071576
                    111,                0.73136,                0.92445,                 1.1966,                 0.6932,                0.74957,                0.78238,                0.65007,                0.64459,                 0.8234,                 1.1993,              0.0071106,              0.0071106,              0.0071106
                    112,                 0.7179,                0.92259,                 1.1937,                0.67906,                0.75956,                0.77907,                0.65246,                0.62698,                 0.8262,                 1.1913,              0.0070633,              0.0070633,              0.0070633
                    113,                0.71205,                0.91924,                 1.1938,                0.67289,                0.76629,                 0.7763,                0.64647,                0.62253,                  0.906,                 1.1905,              0.0070159,              0.0070159,              0.0070159
                    114,                0.72666,                0.91687,                 1.2013,                0.70667,                0.73795,                0.78431,                0.65287,                0.62809,                0.81729,                  1.189,              0.0069682,              0.0069682,              0.0069682
                    115,                0.72467,                0.90892,                 1.1967,                0.70449,                0.73922,                0.79016,                0.65809,                0.63732,                0.80094,                  1.193,              0.0069203,              0.0069203,              0.0069203
                    116,                0.72832,                0.91284,                 1.1922,                  0.683,                0.75199,                0.78537,                0.65556,                0.63528,                0.80081,                 1.1993,              0.0068722,              0.0068722,              0.0068722
                    117,                0.70011,                0.89857,                 1.1818,                0.68396,                0.76867,                0.79227,                0.66726,                0.61018,                0.80202,                 1.1783,              0.0068239,              0.0068239,              0.0068239
                    118,                0.71302,                0.91193,                 1.1866,                0.70098,                0.72399,                 0.7815,                0.65002,                0.63489,                0.83018,                 1.1926,              0.0067754,              0.0067754,              0.0067754
                    119,                0.70742,                0.90939,                 1.1811,                0.69916,                0.74439,                0.78412,                0.64723,                0.64872,                0.82802,                 1.1996,              0.0067268,              0.0067268,              0.0067268
                    120,                0.71983,                0.90933,                 1.1917,                0.69614,                0.74157,                0.78542,                0.65674,                0.62379,                0.80918,                 1.1836,              0.0066779,              0.0066779,              0.0066779
                    121,                0.71336,                 0.8996,                 1.1862,                0.68626,                0.76329,                0.78834,                0.65945,                0.63407,                0.78969,                 1.1878,              0.0066288,              0.0066288,              0.0066288
                    122,                0.71356,                0.89136,                 1.1875,                0.67102,                0.75426,                0.78106,                0.65165,                0.61887,                0.82871,                 1.1849,              0.0065796,              0.0065796,              0.0065796
                    123,                0.71746,                0.91724,                 1.1952,                0.70337,                0.73955,                0.78775,                0.65614,                0.62972,                0.81297,                 1.1851,              0.0065303,              0.0065303,              0.0065303
                    124,                0.71496,                0.90501,                 1.1845,                0.71841,                0.74291,                0.78733,                 0.6557,                0.62744,                0.82158,                  1.189,              0.0064807,              0.0064807,              0.0064807
                    125,                0.71701,                0.90261,                 1.1872,                0.70372,                0.73296,                0.78181,                0.65131,                0.62554,                0.82208,                 1.1865,               0.006431,               0.006431,               0.006431
                    126,                0.69439,                0.88365,                 1.1782,                0.70064,                0.74059,                0.78945,                0.65984,                0.61833,                0.81118,                 1.1829,              0.0063812,              0.0063812,              0.0063812
                    127,                0.69602,                0.88762,                 1.1683,                0.70547,                0.73935,                0.79208,                0.66405,                 0.6108,                0.78798,                 1.1754,              0.0063312,              0.0063312,              0.0063312
                    128,                0.70745,                0.89406,                  1.189,                0.70644,                0.73809,                0.78754,                0.66222,                 0.6125,                0.80592,                 1.1743,               0.006281,               0.006281,               0.006281
                    129,                0.70438,                 0.8863,                 1.1788,                0.71778,                0.73951,                0.79381,                0.66276,                0.62809,                0.80805,                 1.1947,              0.0062307,              0.0062307,              0.0062307
                    130,                0.70698,                0.88957,                 1.1801,                0.71158,                 0.7431,                0.79066,                0.65993,                0.61778,                0.81927,                 1.1758,              0.0061803,              0.0061803,              0.0061803
                    131,                0.70551,                0.88623,                 1.1845,                0.70979,                0.74443,                 0.7969,                 0.6686,                0.61791,                0.78795,                 1.1806,              0.0061298,              0.0061298,              0.0061298
                    132,                0.70065,                0.88401,                 1.1759,                0.68891,                0.76315,                 0.7915,                0.66173,                0.63362,                0.78255,                 1.1885,              0.0060792,              0.0060792,              0.0060792
                    133,                0.70687,                0.89896,                 1.1918,                0.69907,                0.76479,                0.79632,                0.66667,                0.61801,                 0.7981,                 1.1777,              0.0060284,              0.0060284,              0.0060284
                    134,                0.69554,                0.89143,                  1.178,                0.67585,                 0.7481,                0.77874,                0.65263,                  0.609,                0.83539,                 1.1743,              0.0059775,              0.0059775,              0.0059775
                    135,                0.69847,                0.89123,                 1.1828,                 0.7046,                 0.7528,                 0.7921,                0.66247,                0.62338,                 0.8043,                 1.1892,              0.0059266,              0.0059266,              0.0059266
                    136,                 0.6804,                0.87129,                 1.1609,                0.71269,                0.74307,                0.79495,                0.66292,                0.63079,                0.78216,                 1.1871,              0.0058755,              0.0058755,              0.0058755
                    137,                0.69371,                0.88137,                 1.1727,                0.67944,                0.74435,                0.77958,                0.65344,                0.61483,                0.82397,                 1.1804,              0.0058244,              0.0058244,              0.0058244
                    138,                0.68789,                0.87323,                 1.1674,                0.70153,                0.74357,                0.78383,                0.65627,                0.61101,                0.81464,                 1.1826,              0.0057731,              0.0057731,              0.0057731
                    139,                 0.7111,                0.88576,                 1.1866,                 0.7006,                0.73965,                0.79085,                0.66628,                0.61521,                0.79079,                 1.1815,              0.0057218,              0.0057218,              0.0057218
                    140,                0.69581,                0.88875,                 1.1752,                 0.6774,                0.73424,                0.78189,                0.65496,                0.61677,                0.86622,                 1.1742,              0.0056704,              0.0056704,              0.0056704
                    141,                 0.6853,                0.87329,                 1.1668,                0.70383,                 0.7373,                0.79526,                0.66802,                0.61793,                0.79321,                 1.1828,              0.0056189,              0.0056189,              0.0056189
                    142,                 0.6994,                0.90346,                 1.1824,                0.71482,                0.71695,                0.78337,                0.65806,                0.62336,                0.81148,                 1.1896,              0.0055674,              0.0055674,              0.0055674
                    143,                0.68681,                0.87875,                 1.1659,                 0.7011,                0.74004,                 0.7874,                0.66055,                0.60955,                 0.8063,                 1.1699,              0.0055158,              0.0055158,              0.0055158
                    144,                0.68204,                0.86759,                 1.1575,                0.69767,                0.75895,                0.79198,                0.66543,                0.62188,                0.78131,                 1.1831,              0.0054642,              0.0054642,              0.0054642
                    145,                0.68222,                0.88394,                 1.1666,                0.69061,                0.76403,                0.78825,                0.66316,                0.60935,                0.80462,                 1.1775,              0.0054125,              0.0054125,              0.0054125
                    146,                0.68277,                 0.8711,                 1.1732,                0.68175,                0.76744,                0.78304,                0.66016,                0.60695,                0.84369,                 1.1821,              0.0053608,              0.0053608,              0.0053608
                    147,                0.67787,                0.86432,                 1.1644,                0.72682,                0.73257,                0.79337,                0.66919,                0.60441,                0.77575,                 1.1693,              0.0053091,              0.0053091,              0.0053091
                    148,                0.68481,                0.86575,                 1.1635,                0.69662,                0.75074,                0.78397,                0.65806,                0.61588,                0.81075,                 1.1751,              0.0052573,              0.0052573,              0.0052573
                    149,                0.67281,                0.86229,                 1.1538,                 0.7012,                0.73833,                0.79116,                 0.6699,                0.60127,                0.79036,                 1.1696,              0.0052055,              0.0052055,              0.0052055
                    150,                0.67937,                0.86736,                  1.155,                0.70254,                0.74963,                 0.7938,                0.67013,                0.61925,                0.77774,                 1.1823,              0.0051537,              0.0051537,              0.0051537
                    151,                0.68792,                0.87879,                 1.1675,                0.69204,                0.76354,                0.79308,                0.66861,                0.61005,                0.76528,                 1.1785,              0.0051018,              0.0051018,              0.0051018
                    152,                0.67794,                0.87264,                 1.1613,                0.65175,                0.70758,                0.70235,                0.59084,                0.61193,                0.86235,                  1.177,                0.00505,                0.00505,                0.00505
                    153,                0.68055,                0.86218,                  1.158,                0.70461,                 0.7563,                 0.7949,                0.66844,                0.60387,                0.77722,                 1.1779,              0.0049982,              0.0049982,              0.0049982
