                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.66753,                0.84915,                 1.1535,                0.72771,                 0.7435,                0.80579,                0.68048,                0.60372,                0.77374,                 1.1719,              0.0038944,              0.0038944,              0.0038944
                    118,                0.67971,                0.86499,                 1.1571,                0.72577,                0.74663,                 0.8061,                0.67708,                0.60553,                0.78352,                 1.1763,               0.003819,               0.003819,               0.003819
                    119,                0.67011,                 0.8554,                 1.1528,                0.73077,                0.74784,                0.81101,                0.68207,                0.60724,                0.77758,                 1.1812,              0.0037438,              0.0037438,              0.0037438
                    120,                0.67672,                0.84786,                 1.1611,                0.72372,                0.75851,                  0.811,                0.68423,                0.60415,                 0.7677,                  1.172,               0.003669,               0.003669,               0.003669
                    121,                0.66919,                0.85056,                 1.1526,                0.72741,                0.74367,                0.80693,                0.67822,                0.60078,                0.77503,                 1.1753,              0.0035945,              0.0035945,              0.0035945
                    122,                0.68052,                0.84741,                 1.1619,                0.72433,                0.75435,                0.80923,                0.68239,                0.60385,                0.77288,                 1.1701,              0.0035204,              0.0035204,              0.0035204
                    123,                 0.6789,                0.87232,                 1.1675,                0.72004,                 0.7563,                0.80716,                 0.6817,                0.60097,                0.78027,                 1.1709,              0.0034466,              0.0034466,              0.0034466
                    124,                0.67693,                0.84991,                 1.1566,                0.73537,                0.74294,                0.80371,                0.67527,                0.60518,                 0.7802,                 1.1705,              0.0033732,              0.0033732,              0.0033732
                    125,                0.67702,                0.84497,                 1.1574,                0.71586,                0.76198,                0.80378,                0.67718,                0.60842,                0.77251,                 1.1777,              0.0033003,              0.0033003,              0.0033003
                    126,                0.66479,                0.83664,                 1.1541,                0.73001,                0.74187,                 0.8064,                0.68015,                0.59962,                 0.7977,                 1.1687,              0.0032278,              0.0032278,              0.0032278
                    127,                0.65752,                0.83802,                 1.1383,                0.72942,                0.74246,                0.81087,                0.68462,                0.59578,                0.76727,                 1.1675,              0.0031557,              0.0031557,              0.0031557
                    128,                0.66604,                0.83965,                 1.1575,                0.72921,                0.74474,                0.81207,                0.68593,                0.60282,                0.76453,                 1.1717,              0.0030841,              0.0030841,              0.0030841
                    129,                0.66065,                0.83492,                 1.1473,                0.72628,                0.74743,                0.80508,                0.68069,                0.59654,                0.77718,                 1.1733,               0.003013,               0.003013,               0.003013
                    130,                0.66397,                0.83264,                 1.1471,                0.72017,                0.76352,                0.81099,                0.68748,                0.59646,                0.76126,                 1.1705,              0.0029424,              0.0029424,              0.0029424
                    131,                   0.67,                0.83623,                 1.1573,                0.70538,                0.77018,                0.81092,                0.68277,                0.60023,                 0.7827,                 1.1677,              0.0028723,              0.0028723,              0.0028723
                    132,                0.65767,                 0.8388,                 1.1484,                0.70286,                0.75408,                0.80554,                 0.6827,                0.58687,                 0.7867,                 1.1598,              0.0028027,              0.0028027,              0.0028027
                    133,                0.66371,                0.83943,                 1.1572,                0.72967,                0.75555,                0.81142,                0.68554,                0.60199,                0.77682,                 1.1734,              0.0027337,              0.0027337,              0.0027337
                    134,                0.65583,                0.83955,                 1.1489,                0.71528,                 0.7556,                0.80421,                0.67836,                0.59239,                0.77561,                 1.1646,              0.0026653,              0.0026653,              0.0026653
                    135,                0.66104,                0.83166,                  1.154,                0.72085,                0.76072,                0.81312,                0.68873,                0.59749,                0.76093,                 1.1709,              0.0025975,              0.0025975,              0.0025975
                    136,                0.64059,                0.82101,                 1.1318,                0.71715,                0.75906,                0.81155,                0.68726,                0.59181,                0.76171,                 1.1647,              0.0025302,              0.0025302,              0.0025302
                    137,                0.65204,                0.82143,                 1.1378,                0.71359,                0.76312,                0.80963,                0.68579,                0.59861,                0.75953,                 1.1715,              0.0024636,              0.0024636,              0.0024636
                    138,                0.64715,                0.81634,                 1.1356,                0.72431,                0.75537,                0.80786,                0.68402,                0.58738,                0.75335,                 1.1644,              0.0023977,              0.0023977,              0.0023977
                    139,                 0.6509,                0.81669,                 1.1398,                0.71552,                0.76056,                0.80869,                 0.6861,                0.58715,                0.75929,                 1.1655,              0.0023323,              0.0023323,              0.0023323
                    140,                0.64423,                0.82161,                 1.1372,                0.70865,                0.74327,                 0.8006,                0.68077,                0.58371,                0.78113,                 1.1592,              0.0022677,              0.0022677,              0.0022677
                    141,                0.64098,                0.81777,                 1.1309,                0.71248,                0.74377,                0.80114,                0.67696,                0.59871,                0.78147,                 1.1698,              0.0022037,              0.0022037,              0.0022037
                    142,                0.65632,                0.83362,                 1.1474,                 0.7286,                0.75702,                0.81103,                0.68681,                0.59253,                0.76036,                 1.1667,              0.0021405,              0.0021405,              0.0021405
                    143,                0.63957,                0.82024,                 1.1327,                0.71927,                  0.758,                0.81002,                  0.689,                0.58436,                0.75956,                 1.1608,              0.0020779,              0.0020779,              0.0020779
                    144,                0.62667,                0.80749,                 1.1213,                0.71778,                0.75502,                0.80436,                0.68331,                0.58176,                 0.7672,                 1.1603,              0.0020161,              0.0020161,              0.0020161
                    145,                 0.6297,                0.81987,                 1.1299,                0.71806,                0.75204,                0.80197,                0.68325,                0.57497,                0.78295,                 1.1533,               0.001955,               0.001955,               0.001955
                    146,                0.63576,                0.80124,                  1.138,                0.72791,                0.76046,                0.81268,                0.68945,                0.58594,                0.74251,                 1.1675,              0.0018948,              0.0018948,              0.0018948
